[TRACE] 2015-08-07 16:39:44,313 Thread:1 --- 1018;转入商品项号没有对应的转出商品项号;2015-08-07 16:39:44;2015-08-07 16:39:44;0;true;false
[TRACE] 2015-08-07 16:39:45,311 Thread:1 --- 904;流转申请表编号未填写;2015-08-07 16:39:45;2015-08-07 16:39:45;0;false;false
[TRACE] 2015-08-07 16:39:45,428 Thread:1 --- 905;申报统一编号未填写;2015-08-07 16:39:45;2015-08-07 16:39:45;0;true;false
[TRACE] 2015-08-07 16:39:45,560 Thread:1 --- 906;转出地海关未填写;2015-08-07 16:39:45;2015-08-07 16:39:45;0;false;false
[TRACE] 2015-08-07 16:39:45,696 Thread:1 --- 907;转出企业代码未填写;2015-08-07 16:39:45;2015-08-07 16:39:45;0;false;false
[TRACE] 2015-08-07 16:39:45,863 Thread:1 --- 908;转出企业名称未填写;2015-08-07 16:39:45;2015-08-07 16:39:45;0;true;false
[TRACE] 2015-08-07 16:39:46,340 Thread:1 --- 912;转出申报企业代码未填写;2015-08-07 16:39:46;2015-08-07 16:39:46;0;false;false
[TRACE] 2015-08-07 16:39:46,467 Thread:1 --- 913;转出申报企业名称未填写;2015-08-07 16:39:46;2015-08-07 16:39:46;0;false;false
[TRACE] 2015-08-07 16:39:46,656 Thread:1 --- 914;转出企业法人未填写;2015-08-07 16:39:46;2015-08-07 16:39:46;0;false;false
[TRACE] 2015-08-07 16:39:46,773 Thread:1 --- 915;转出申报人未填写;2015-08-07 16:39:46;2015-08-07 16:39:46;0;false;false
[TRACE] 2015-08-07 16:39:46,899 Thread:1 --- 916;转出地区代码未填写;2015-08-07 16:39:46;2015-08-07 16:39:46;0;false;false
[TRACE] 2015-08-07 16:39:47,012 Thread:1 --- 917;转出帐册编号未填写;2015-08-07 16:39:47;2015-08-07 16:39:47;0;false;false
[TRACE] 2015-08-07 16:39:47,139 Thread:1 --- 918;流转申请表有效期未填写;2015-08-07 16:39:47;2015-08-07 16:39:47;0;true;false
[TRACE] 2015-08-07 16:39:47,533 Thread:1 --- 920;转出申报日期格式有误;2015-08-07 16:39:47;2015-08-07 16:39:47;0;false;false
[TRACE] 2015-08-07 16:39:49,009 Thread:1 --- 949;帐册类型合法性检查;2015-08-07 16:39:49;2015-08-07 16:39:49;1;false;false
[TRACE] 2015-08-07 16:39:49,362 Thread:1 --- 951;帐册暂停进口状态检查;2015-08-07 16:39:49;2015-08-07 16:39:49;0;false;false
[TRACE] 2015-08-07 16:39:49,552 Thread:1 --- 952;帐册注销状态检查;2015-08-07 16:39:49;2015-08-07 16:39:49;0;false;false
[TRACE] 2015-08-07 16:39:49,791 Thread:1 --- 954;帐册涉案状态检查;2015-08-07 16:39:49;2015-08-07 16:39:49;0;false;false
[TRACE] 2015-08-07 16:39:49,915 Thread:1 --- 955;企业与帐册加工单位一致性检查;2015-08-07 16:39:49;2015-08-07 16:39:49;0;true;false
[TRACE] 2015-08-07 16:39:51,555 Thread:1 --- 964;流转申请表编号未填写;2015-08-07 16:39:51;2015-08-07 16:39:51;0;false;false
[TRACE] 2015-08-07 16:39:51,670 Thread:1 --- 965;转出标志未填写;2015-08-07 16:39:51;2015-08-07 16:39:51;0;false;false
[TRACE] 2015-08-07 16:39:51,839 Thread:1 --- 966;流转申请表序号未填写;2015-08-07 16:39:51;2015-08-07 16:39:51;1;false;false
[TRACE] 2015-08-07 16:39:51,956 Thread:1 --- 967;申报统一编号未填写;2015-08-07 16:39:51;2015-08-07 16:39:51;0;false;false
[TRACE] 2015-08-07 16:39:52,071 Thread:1 --- 968;商品编码未填写;2015-08-07 16:39:52;2015-08-07 16:39:52;0;false;false
[TRACE] 2015-08-07 16:39:52,189 Thread:1 --- 969;商品名称未填写;2015-08-07 16:39:52;2015-08-07 16:39:52;0;false;false
[TRACE] 2015-08-07 16:39:52,356 Thread:1 --- 970;商品规格未填写;2015-08-07 16:39:52;2015-08-07 16:39:52;0;false;false
[TRACE] 2015-08-07 16:39:52,472 Thread:1 --- 971;申报单位未填写;2015-08-07 16:39:52;2015-08-07 16:39:52;0;false;false
[TRACE] 2015-08-07 16:39:52,588 Thread:1 --- 972;申报数量未填写;2015-08-07 16:39:52;2015-08-07 16:39:52;0;false;false
[TRACE] 2015-08-07 16:39:52,721 Thread:1 --- 973;法定单位未填写;2015-08-07 16:39:52;2015-08-07 16:39:52;0;false;false
[TRACE] 2015-08-07 16:39:54,352 Thread:1 --- 974;法定数量未填写;2015-08-07 16:39:54;2015-08-07 16:39:54;1;false;false
[TRACE] 2015-08-07 16:39:54,474 Thread:1 --- 975;修改标志未填写;2015-08-07 16:39:54;2015-08-07 16:39:54;0;false;false
[TRACE] 2015-08-07 16:39:55,315 Thread:1 --- 980;修改标志合法性检查;2015-08-07 16:39:55;2015-08-07 16:39:55;0;false;false
[TRACE] 2015-08-07 16:39:55,434 Thread:1 --- 981;申报数量合法性检查;2015-08-07 16:39:55;2015-08-07 16:39:55;0;false;false
[TRACE] 2015-08-07 16:39:55,933 Thread:1 --- 984;申报表申报商品序号与海关正式库序号重复检查;2015-08-07 16:39:55;2015-08-07 16:39:55;1;false;false
[TRACE] 2015-08-07 16:39:56,586 Thread:1 --- 986;帐册中是否存在对应的商品序号;2015-08-07 16:39:56;2015-08-07 16:39:56;26;false;false
[TRACE] 2015-08-07 16:39:56,776 Thread:1 --- 987;商品编码是否与帐册一致;2015-08-07 16:39:56;2015-08-07 16:39:56;26;true;false
